Lab,Latitude,Longitude
"AI R&D Group, Samsung Electronics, Suwon, South Korea",37.2558519,127.0485586
"ARC Lab, Tencent PCG",22.5475723,113.9395426
"Alexa Machine Learning, Amazon, USA",47.5979828,-122.2334498
"Alexa Perceptual Technologies, Amazon",47.5979828,-122.2334498
Allegheny Health Network,40.4314699,-80.0629006
Amazon APT,47.5979828,-122.2334498
"Amazon Alexa, TTS Research",47.5979828,-122.2334498
"Amazon Alexa, USA",47.5979828,-122.2334498
Amazon Science,47.5979828,-122.2334498
Amazon TTS,47.5979828,-122.2334498
Amazon Web Services,47.5979828,-122.2334498
Ant Group,30.2615839,120.0070837
ByteDance,35.86166,104.195397
Bytedance Research,35.86166,104.195397
CISPA Helmholtz Center for Information Security,49.2593489,7.0515591
"CLSP, Johns Hopkins University, USA",39.3272831,-76.6195475
"CPC Corporation, Taiwan",21.9916378,117.5385451
Chaos,42.6955288,23.2415467
China Telecom Corporation Ltd. Data&AI Technology Company,39.9154941,116.3572851
"CoML, ENS/CNRS/EHESS/INRIA/PSL Research University",48.8434973,2.3423601
"Cochlear Implant Processing Laboratory, Center for Robust Speech Systems (CRSS-CILab),Department of Electrical & Computer Engineering, The University of Texas at Dallas",32.8462552,-96.922179
College of Pharmacy,44.9734672,-93.2307527
"Comp & Info Tech Dept, IUPUI, Indianapolis",39.7740129,-86.1725532
"Comp & Info Tech Dept, Purdue University, West Lafayette",40.4278046,-86.9111405
"DAMO Academy, Alibaba Group, China",40.0053956,116.3954173
"Data & AI Engineering System, OPPO, Beijing , China",22.9764298,113.6295195
"Data & AI Engineering System, OPPO, Beijing, China",22.9764298,113.6295195
"Data&AI Engineering System, OPPO, Beijing, China",22.9764298,113.6295195
Davos Alzheimer’s Collaborative,40.044217,-75.3883965
"Department of Computer Science and Information, National Taiwan University of Science and Technology, Taiwan",25.0132631,121.537986
"Department of Data Science & AI, Monash University",-38.0146157,144.9331227
"Department of Electrical & Computer Engineering, University of California, Santa Barbara, CA",34.4139396,-119.8698436
"Department of Electrical & Computer Engineering, University of Thessaly, Volos, Greece",39.3576795,22.9480456
"Department of Electronics & Electrical Communication Engineering,Indian Institute of Technology Kharagpur, West Bengal, India",22.3149323,87.3079562
"Department of Mathematics & Applied Mathematics, University of Cape Town, South Africa",-33.9576475,18.4586242
"Dept. of Electrical & Electronic Engineering, Yonsei University, South Korea",37.5663979,126.9361317
"Dept. of Systems Engineering & Engineering Management, The Chinese University of Hong Kong",22.4196299,114.2041857
