Location,Latitude,Longitude
"42dot Inc., Seoul, Republic of Korea",37.4128959,127.0941394
"ADAPT Centre, Department of Computer Science, Maynooth University, Ireland",53.3846707,-6.6006075
"ADAPT Centre, School of Computer Science and Statistics, Trinity College, The University ofDublin; Trinity College Institute of Neuroscience, Ireland",53.3434936,-6.250251500000001
"ADAPT Centre, University College Dublin, Ireland",53.3435769,-6.2503695
"ADAPT Research Centre, School of Computer Science, University College Dublin, Ireland",53.3498053,-6.2603097
"ADSPLAB, School of ECE, Peking University, China",39.904211,116.407395
"AGH University of Science and Technology, Institute of Electronics,  Krakow, Poland",50.06448229999999,19.9232752
"AGH University of Science and Technology, Institute of Electronics, Kraków, Poland",50.06448229999999,19.9232752
"AI Center, FPT Software Company Limited, Vietnam",14.058324,108.277199
"AI Innovation Center, Midea Group (Shanghai) Co.,Ltd., Shanghai , China",31.230416,121.473701
"AI R&D Group, Samsung Electronics, Suwon, South Korea",,
AI Saturdays Lagos,6.5243793,3.3792057
"AI4Bharat, India",20.593684,78.96288
"AIIS, Seoul National University, Seoul, Republic of Korea",37.4648267,126.9571988
"AIRO-IDlab, Ghent University-Imec, Belgium.",51.012913,3.7079805
"AISpeech Ltd, Suzhou, China",31.29833989999999,120.58319
"AITRICS, South Korea",37.5015119,127.0404287
"AImotion Bavaria, Technische Hochschule Ingolstadt, Germany",48.76699350000001,11.4326023
"ALTA Institute / Cambridge University Engineering Department, Cambridge, UK",52.1950788,0.1312729
"ALTA Institute, Machine Intelligence Lab, Department of Engineering, Cambridge University, UK",52.1950788,0.1312729
"ARC Lab, Tencent PCG",,
"ASAPP Inc., Mountain View, CA, USA",37.3900264,-122.0812304
ASUS Intelligent Cloud Services (AICS) Singapore,1.2777366,103.8476215
"AWS AI Labs, Australia",-25.274398,133.775136
"AWS AI Labs, USA",38.7945952,-106.5348379
"Aalborg University, Department of Electronic Systems, Denmark",57.0139858,9.9845553
"Aarhus University, Denmark",56.1659924,10.2000645
"Acoustics Laboratory, School of Physics and Optoelectronics,South China University of Technology, Guangzhou, China",23.151326,113.344683
"ActionPower, Seoul, Republic of Korea",37.4804602,126.954041
Adavanced Technology Development Centre,36.689487,2.981877
"Adobe Research, San Francisco, CA, USA",37.7714229,-122.4019097
"Adobe Research, USA",38.7945952,-106.5348379
"African Institute for Mathematical Sciences, Cape Town, South Africa",-34.1074499,18.4704708
"Agency Against Corruption, Ministry of Justice, Taiwan",23.69781,120.960515
"Aichi Prefectural University, Japan",35.1814098,137.0881731
"Aix Marseille University, CNRS, Laboratoire Parole et Langage, Aix-en-Provence, France",43.5323032,5.4509692
"Aix-Marseille Université, LPL, CNRS, France",43.3025742,5.369074299999999
"Ajmide Media, Shanghai, China",31.230416,121.473701
"Alexa AI, Amazon.com Inc, Boston, MA, USA",42.3600825,-71.0588801
"Alexa Machine Learning, Amazon, USAradfarmr,lyskawpa,btruj,yixiey,kaizhen, {",,
"Alexa Perceptual Technologies, Amazon",,
"Alibaba-NTU Singapore JRI, Interdisciplinary Graduate Programme, NTU, Singapore.",1.3468655,103.6817293
Allegheny Health Network,,
Amazon APT,,
"Amazon Alexa AI, CA, USA",36.778261,-119.4179324
"Amazon Alexa AI, U.S.A.",38.7945952,-106.5348379
"Amazon Alexa AI, USA",38.7945952,-106.5348379
"Amazon Alexa, Cambridge, MA, USA",42.3736158,-71.10973349999999
"Amazon Alexa, Cambridge, UK",52.1950788,0.1312729
"Amazon Alexa, Germany",51.165691,10.451526
"Amazon Alexa, TTS Research",,
"Amazon Alexa, USA",,
"Amazon Alexa, United Kingdom",55.378051,-3.435973
Amazon Science,,
Amazon TTS,,
Amazon Web Services,,
"Amazon.com Inc, Seattle, WA, USA",47.6061389,-122.3328481
"Amazon.com, Inc., Seattle, WA, USA",47.6061389,-122.3328481
Ant Group,,
"AppTek GmbH,  Aachen, Germany",50.7719981,6.0869746
"AppTek GmbH, Aachen, Germany",50.7719981,6.0869746
"AppTek GmbH, Germany",50.7719981,6.0869746
"Apple, USA",38.7945952,-106.5348379
"Applejiarui lu,bohsiang tseng,joelrubenantony moniz, {",,
"Applied Sciences Group, Microsoft Corporation, Redmond, USA",47.6739881,-122.121512
"Aristotle University of Thessaloniki, Greece",40.6308283,22.9592224
"Artificial Intelligence Institute, Seoul National University",37.4648267,126.9571988
"Artificial Intelligence Lab (AILab), Otto-von-Guericke-University, Magdeburg, Germany",52.1401009,11.6447011
"Artificial Intelligence Research Institute (AIRI), Russia;",55.76078010000001,37.6625083
"Artificial Intelligence Research Institute, Moscow",55.76078010000001,37.6625083
"Artificial and Natural Intelligence Toulouse Institute (ANITI), France",43.6048462,1.442848
"Audio Analysis Lab, CREATE, Aalborg University,  Aalborg, Denmark",57.0483972,9.929809299999999
"Audio Information Processing, Technical University of Munich, Germany",48.150332,11.5693944
"Audio Research Group, Tampere University, Tampere, Finland",61.49435820000001,23.7804048
"Audio and Speech Processing Research Group, Tampere University, Finland",61.49435820000001,23.7804048
"Audio, Speech and Language Processing Group (ASLP@NPU) School of Computer Science, Northwestern Polytechnical University, Xi’an, China",34.2658138,108.9540936
"Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University (NPU), Xi’an, China",34.2658138,108.9540936
